timestamp,sample_idx,foreground_pkg,fps,frame_count,p0_freq,p0_governor,p2_freq,p2_governor,p5_freq,p5_governor,p7_freq,p7_governor,gpu_freq_hz,gpu_busy_pct,temp_cpu_max_c,temp_gpu_max_c,temp_skin_c,temp_battery_c,fan_signal,fan_signal_unit,battery_current_ma,battery_voltage_mv,pulse_installed,pulse_service_running
1785137754152,0,com.retrohrai.launcher,90.0,49,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,24,62.0,52.0,49.5,33.0,1289,fan_rpm_state,-345162,7610422,true,false
1785137759979,1,com.android.settings,120.0,12,2265600,performance,3148800,performance,2956800,performance,3052800,performance,231000000,23,76.0,57.5,49.2,33.0,2074,fan_rpm_state,-826741,7545026,true,false
1785137766037,2,com.kei.pulse,41.6,127,2265600,performance,3148800,performance,2956800,performance,3052800,performance,231000000,10,72.1,57.1,49.3,33.0,2052,fan_rpm_state,-569472,7577724,true,false
1785137771982,3,com.android.settings,93.9,127,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,11,63.2,52.8,48.8,33.0,2000,fan_rpm_state,-447703,7597382,true,false
1785137778032,4,com.kei.pulse,20.3,107,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,8,65.9,51.6,48.3,33.0,1436,fan_rpm_state,-421153,7607892,true,false
1785137783863,5,com.mojang.minecraftpe,n/a (low_sample_count=2),2,2265600,performance,3148800,performance,2956800,performance,3052800,performance,231000000,30,74.6,55.9,48.2,33.0,1260,fan_rpm_state,-980554,7526536,true,false
1785137789998,6,com.retrohrai.launcher,29.6,127,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,14,61.6,52.4,48.2,33.0,1970,fan_rpm_state,-442210,7598355,true,false
