timestamp,sample_idx,foreground_pkg,fps,frame_count,p0_freq,p0_governor,p2_freq,p2_governor,p5_freq,p5_governor,p7_freq,p7_governor,gpu_freq_hz,gpu_busy_pct,temp_cpu_max_c,temp_gpu_max_c,temp_skin_c,temp_battery_c,fan_signal,fan_signal_unit,battery_current_ma,battery_voltage_mv,pulse_installed,pulse_service_running
1785136745447,0,com.retrohrai.launcher,120.0,25,2265600,performance,3148800,performance,2956800,performance,3302400,performance,500000000,13,69.0,54.0,49.8,32.0,1611,fan_rpm_state,931114,7882709,true,true
1785136751287,1,com.mojang.minecraftpe,n/a (low_sample_count=2),2,2265600,walt,3148800,walt,2956800,walt,3052800,walt,231000000,24,79.5,57.9,50.1,32.0,3049,fan_rpm_state,341500,7803884,true,true
1785136757680,2,com.retrohrai.launcher,41.0,126,1248000,walt,960000,walt,1190400,walt,480000,walt,231000000,18,57.6,52.4,49.8,32.0,1289,fan_rpm_state,1136197,7913071,true,true
1785136764183,3,com.retrohrai.launcher,56.0,29,787200,walt,844800,walt,1075200,walt,902400,walt,231000000,14,54.3,51.2,49.5,32.0,1254,fan_rpm_state,1075771,7909957,true,true
1785136770617,4,com.retrohrai.launcher,n/a (low_sample_count=0),0,787200,walt,1286400,walt,1190400,walt,902400,walt,231000000,4,58.9,52.0,49.7,32.0,0,fan_rpm_state,1087673,7911514,true,true
