write #1: duty=150 at t=0
t=0s ts=1785425696 rpm=Current RPM 2788 duty=150
post2 t=63s ts=1785425798 rpm=Current RPM 4951 duty=150
post2 t=64s ts=1785425799 rpm=Current RPM 4921 duty=150
post2 t=65s ts=1785425800 rpm=Current RPM 4926 duty=150
post2 t=66s ts=1785425801 rpm=Current RPM 4956 duty=150
post2 t=67s ts=1785425802 rpm=Current RPM 4921 duty=150
post2 t=68s ts=1785425803 rpm=Current RPM 4926 duty=150
post2 t=69s ts=1785425804 rpm=Current RPM 4921 duty=150
post2 t=70s ts=1785425806 rpm=Current RPM 4926 duty=150
post2 t=71s ts=1785425807 rpm=Current RPM 4926 duty=150
post2 t=72s ts=1785425808 rpm=Current RPM 4921 duty=150
post2 t=73s ts=1785425809 rpm=Current RPM 4921 duty=150
post2 t=74s ts=1785425810 rpm=Current RPM 4921 duty=150
post2 t=75s ts=1785425811 rpm=Current RPM 4926 duty=150
post2 t=76s ts=1785425812 rpm=Current RPM 4921 duty=150
post2 t=77s ts=1785425813 rpm=Current RPM 4926 duty=150
post2 t=78s ts=1785425814 rpm=Current RPM 4917 duty=150
post2 t=79s ts=1785425815 rpm=Current RPM 4931 duty=150
post2 t=80s ts=1785425816 rpm=Current RPM 4946 duty=150
post2 t=81s ts=1785425818 rpm=Current RPM 4921 duty=150
post2 t=82s ts=1785425819 rpm=Current RPM 4921 duty=150
post2 t=83s ts=1785425820 rpm=Current RPM 4931 duty=150
post2 t=84s ts=1785425821 rpm=Current RPM 4926 duty=150
post2 t=85s ts=1785425822 rpm=Current RPM 4917 duty=150
post2 t=86s ts=1785425823 rpm=Current RPM 4921 duty=150
post2 t=87s ts=1785425824 rpm=Current RPM 4926 duty=150
post2 t=88s ts=1785425825 rpm=Current RPM 4921 duty=150
post2 t=89s ts=1785425826 rpm=Current RPM 4921 duty=150
post2 t=90s ts=1785425827 rpm=Current RPM 4926 duty=150
post2 t=91s ts=1785425829 rpm=Current RPM 4926 duty=150
post2 t=92s ts=1785425830 rpm=Current RPM 4921 duty=150
post2 t=93s ts=1785425831 rpm=Current RPM 4921 duty=150
post2 t=94s ts=1785425832 rpm=Current RPM 4921 duty=150
post2 t=95s ts=1785425833 rpm=Current RPM 4931 duty=150
post2 t=96s ts=1785425834 rpm=Current RPM 4917 duty=150
post2 t=97s ts=1785425835 rpm=Current RPM 4926 duty=150
post2 t=98s ts=1785425836 rpm=Current RPM 4921 duty=150
post2 t=99s ts=1785425837 rpm=Current RPM 4931 duty=150
post2 t=100s ts=1785425838 rpm=Current RPM 4917 duty=150
post2 t=101s ts=1785425839 rpm=Current RPM 4926 duty=150
post2 t=102s ts=1785425840 rpm=Current RPM 4921 duty=150
post2 t=103s ts=1785425842 rpm=Current RPM 4921 duty=150
post2 t=104s ts=1785425843 rpm=Current RPM 4921 duty=150
post2 t=105s ts=1785425844 rpm=Current RPM 4926 duty=150
post2 t=106s ts=1785425845 rpm=Current RPM 4921 duty=150
post2 t=107s ts=1785425846 rpm=Current RPM 4921 duty=150
post2 t=108s ts=1785425847 rpm=Current RPM 4926 duty=150
post2 t=109s ts=1785425848 rpm=Current RPM 4926 duty=150
post2 t=110s ts=1785425849 rpm=Current RPM 4921 duty=150
post2 t=111s ts=1785425850 rpm=Current RPM 4926 duty=150
post2 t=112s ts=1785425851 rpm=Current RPM 4838 duty=76
REASSERT #2 detected at post2 t=112s (duty now 76)
post2 t=113s ts=1785425852 rpm=Current RPM 3255 duty=76
REASSERT #2 detected at post2 t=113s (duty now 76)
post2 t=114s ts=1785425854 rpm=Current RPM 2868 duty=76
REASSERT #2 detected at post2 t=114s (duty now 76)
post2 t=115s ts=1785425855 rpm=Current RPM 2844 duty=76
REASSERT #2 detected at post2 t=115s (duty now 76)
post2 t=116s ts=1785425856 rpm=Current RPM 2841 duty=76
REASSERT #2 detected at post2 t=116s (duty now 76)
post2 t=117s ts=1785425857 rpm=Current RPM 2844 duty=76
REASSERT #2 detected at post2 t=117s (duty now 76)
post2 t=118s ts=1785425858 rpm=Current RPM 2812 duty=76
REASSERT #2 detected at post2 t=118s (duty now 76)
post2 t=119s ts=1785425859 rpm=Current RPM 2841 duty=76
REASSERT #2 detected at post2 t=119s (duty now 76)
probe2 done
