timestamp,sample_idx,foreground_pkg,fps,frame_count,p0_freq,p0_governor,p2_freq,p2_governor,p5_freq,p5_governor,p7_freq,p7_governor,gpu_freq_hz,gpu_busy_pct,temp_cpu_max_c,temp_gpu_max_c,temp_skin_c,temp_battery_c,fan_signal,fan_signal_unit,battery_current_ma,battery_voltage_mv,pulse_installed,pulse_service_running
1785098506197,0,com.retrohrai.launcher,85.0,81,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,28,52.7,45.7,43.8,30.0,996,fan_rpm_state,1070277,7810696,false,false
1785098512252,1,com.miHoYo.Yuanshen,n/a (low_sample_count=0),0,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,24,94.9,57.5,44.6,30.0,1347,fan_rpm_state,-82399,7643898,false,false
1785098518232,2,com.miHoYo.Yuanshen,n/a (low_sample_count=0),0,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,n/a,93.8,60.6,47.0,30.0,3519,fan_rpm_state,545667,7721361,false,false
1785098523976,3,com.miHoYo.Yuanshen,60.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,37,65.9,54.3,47.6,30.0,2228,fan_rpm_state,851461,7765737,false,false
1785098529918,4,com.miHoYo.Yuanshen,60.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,37,73.0,55.5,47.4,30.0,1376,fan_rpm_state,214238,7727784,false,false
1785098535659,5,com.miHoYo.Yuanshen,59.8,127,2265600,performance,3148800,performance,2956800,performance,3052800,performance,231000000,58,65.5,54.7,47.9,30.0,1554,fan_rpm_state,728777,7756200,false,false
1785098541614,6,com.miHoYo.Yuanshen,59.3,127,2265600,performance,3014400,performance,2956800,performance,3052800,performance,310000000,93,84.2,62.6,48.8,30.0,1552,fan_rpm_state,63172,7650126,false,false
1785098547361,7,com.miHoYo.Yuanshen,60.0,126,2265600,performance,3148800,performance,2956800,performance,3052800,performance,366000000,81,78.0,64.1,50.1,30.0,3323,fan_rpm_state,327766,7686133,false,false
1785098553100,8,com.miHoYo.Yuanshen,60.0,127,2265600,performance,3148800,performance,2956800,performance,3052800,performance,310000000,85,74.2,63.7,50.5,30.0,2844,fan_rpm_state,398264,7703844,false,false
1785098558834,9,com.miHoYo.Yuanshen,60.0,126,2265600,performance,3148800,performance,2956800,performance,3052800,performance,310000000,73,76.4,61.8,50.9,30.0,2855,fan_rpm_state,469677,7716495,false,false
1785098564676,10,com.miHoYo.Yuanshen,60.0,127,2265600,performance,3148800,performance,2956800,performance,3052800,performance,310000000,92,78.8,64.5,51.3,30.0,2844,fan_rpm_state,256354,7681656,false,false
1785098570422,11,com.miHoYo.Yuanshen,60.0,127,2265600,performance,3148800,performance,2956800,performance,3052800,performance,310000000,84,76.1,64.1,51.9,30.0,3398,fan_rpm_state,359811,7694697,false,false
1785098576154,12,com.miHoYo.Yuanshen,60.0,126,2265600,performance,3148800,performance,2956800,performance,3052800,performance,310000000,78,81.1,64.5,52.2,31.0,3164,fan_rpm_state,383615,7698978,false,false
1785098581890,13,com.miHoYo.Yuanshen,60.0,127,2265600,performance,3148800,performance,2956800,performance,3052800,performance,310000000,71,78.4,63.0,52.1,31.0,3837,fan_rpm_state,-1074855,7495785,false,false
1785098587622,14,com.miHoYo.Yuanshen,60.0,127,2265600,performance,3072000,performance,2956800,performance,2995200,performance,310000000,69,75.2,62.6,51.5,31.0,2961,fan_rpm_state,-1138028,7466590,false,false
1785098593361,15,com.miHoYo.Yuanshen,60.0,126,2265600,performance,3072000,performance,2956800,performance,2995200,performance,310000000,72,75.2,62.6,51.2,31.0,2737,fan_rpm_state,-1099575,7467369,false,false
1785098599103,16,com.miHoYo.Yuanshen,60.0,127,2265600,performance,3072000,performance,2956800,performance,2995200,performance,310000000,76,79.5,63.7,51.2,31.0,3945,fan_rpm_state,-1047389,7472429,false,false
1785098604834,17,com.miHoYo.Yuanshen,59.8,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,73,72.5,60.6,51.0,31.0,2756,fan_rpm_state,-669267,7517973,false,false
1785098610769,18,com.retrohrai.launcher,29.5,127,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,13,61.6,54.3,49.8,31.0,1964,fan_rpm_state,-670182,7520113,false,false
