timestamp,sample_idx,foreground_pkg,fps,frame_count,p0_freq,p0_governor,p2_freq,p2_governor,p5_freq,p5_governor,p7_freq,p7_governor,gpu_freq_hz,gpu_busy_pct,temp_cpu_max_c,temp_gpu_max_c,temp_skin_c,temp_battery_c,fan_signal,fan_signal_unit,battery_current_ma,battery_voltage_mv,pulse_installed,pulse_service_running
1785098665273,0,pl.ablogger.app,73.4,127,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,n/a,60.1,50.4,47.5,31.0,1259,fan_rpm_state,-425730,7543469,false,true
1785098671543,1,com.retrohrai.launcher,59.5,126,787200,walt,1612800,walt,1190400,walt,902400,walt,231000000,25,54.3,50.4,47.2,31.0,1436,fan_rpm_state,-433970,7548140,false,true
1785098677937,2,com.retrohrai.launcher,50.3,126,556800,walt,499200,walt,1075200,walt,480000,walt,231000000,16,53.1,49.3,46.9,31.0,1083,fan_rpm_state,-418406,7548724,false,true
